Indonesia,Batak
Dominasi itu terasa hingga ke sekolah dan madrasah sebab dalam pelaksanaannya satker banyak memanfaatkan UPTD,Dominasi Ido Tarhilala Sondot Tu Sikkola Dohot madrasah Ala Bagas pelaksanaannya satker Godang Mamparhaseanghon UPTD
"Bahkan, di beberapa sekolah swasta yang menjadi sampel kajian ini belum dibentuk komite sekolah","Gari, I Pigapiga Sikkola Partikulir Na Jala sampel kajian On Ndangdope Ditompa komite Sikkola"
Perkecualian peran dewan pendidikan ditemukan di Kabupaten Tapanuli Utara dan Kabupaten Minahasa Utara,Perkecualian Dohoti Deuan Parsiajaran Haluluan I Kabupaten Tapanuli Utara Dohot Kabupaten Minahasa Utara
Semua kegiatan ini dibiayai dari dana operasional dewan pendidikan yang diperoleh dari Depdiknas,Luhut kegiatan On dibiayai Sian Hepeng operasional Deuan Parsiajaran Na Didapot Sian Depdiknas
Melalui mekanisme ini Pemerintah Pusat menyerahkan pelaksanaan program kepada pemerintah provinsi,Marhitehite mekanisme On Pamarenta Pusok Mangalehon pelaksanaan Ruhutruhut Tu Pamarenta provinsi
untuk meningkatkan koordinasi dan pertanggungjawaban di tingkat daerah,Di Patuginjang koordinasi Dohot pertanggungjawaban I Tingkat Huta
"Pengurus BP3 hanya terdiri dari orangtua siswa, sementara komite sekolah terdiri dari orangtua siswa dan masyarakat lainnya","Juarabagas BP3 Holan terdiri Sian orangtua Anaksikkola, Santokin komite Sikkola terdiri Sian orangtua Anaksikkola Dohot Masarakat Habalian"
"Oleh karenanya, pertanggungjawaban dalam bentuk laporan akhir hanya dibuat oleh satker provinsi dan Satker Pusat","Angkup Alana, pertanggungjawaban Bagas Rumang Boaboa Pudi Holan Dibahen Angkup satker provinsi Dohot Satker Pusok"
Hal semacam ini merupakan masalah yang biasa terjadi dengan program-program yang dilaksanakan melalui mekanisme dekonsentrasi,Bongka Samansam On merupakan Hasuharan Na Somal Manjadi Dohot Ruhutruhut program Na Dihangoluhon Marhitehite mekanisme dekonsentrasi
Persepsi tersebut digali dalam berbagai diskusi kelompok terarah yang diselenggarakan di semua kabupaten/kota sampel,Persepsi tersebut Dihurak Bagas Marmansam Marsirarion Horong Tarpaodong Na Dipatupa I Luhut Kabupaten/Kota sampel
"Bagi sekolah yang jumlah siswanya banyak, nilai peningkatan penerimaan tersebut cukup signifikan","Sagi Sikkola Na Lonsam siswanya Godang, Asam peningkatan Panjaloon tersebut Ris signifikan"
Tingkat perubahan penerimaan sekolah setelah adanya BOS bervariasi antarsekolah,Tingkat Hamubaon Panjaloon Sikkola Dungkon Adongdo Tokke Marmansam antarsekolah
"Walaupun demikian, dari berbagai kenyataan yang ditemukan dalam kajian cepat ini dapat dikenali indikasi-indikasi dampak program","Aganan Alai, Sian Marmansam Hanataan Na Haluluan Bagas kajian Hatop On Dohar Ditandai indikasi-indikasi Panghorhon Ruhutruhut"
Sementara itu penerimaan sebuah sekolah di Cilegon menurun sekitar 15%,Santokin Ido Panjaloon Sabiji Sikkola I Cilegon Aran Lambung Sampululima
Peningkatan penerimaan bisa lebih besar karena belum tentu semua murid membayar iuran siswa pada periode-periode sebelumnya,Peningkatan Panjaloon Boi Lobi Balga Alani Ndangdope Tontu Luhut Sisean Manggarar Gugu Anaksikkola Di periode-periode Andorangsona
"Indikasi peningkatan kualitas pendidikan tersebut, antara lain terlihat dari","Indikasi peningkatan Habagakon Parsiajaran tersebut, Holangholang Asing Tarbereng Sian"
"Di antara sekolah-sekolah sampel, hanya ada satu sekolah SMP di Kota Cilegon yang penerimaannya menurun setelah adanya BOS","I Holangholang Sikkola sekolah sampel, Holan Isi Sada Sikkola SMP I Kota Cilegon Na Panjaloonna Aran Dungkon Adongdo Tokke"
Jumlah sekolah sampel berdasarkan perubahan kelompok penerimaan sebelum dan sesudah menerima BOS disajikan dalam Tabel 2.7,Lonsam Sikkola sampel Marbingkas Hamubaon Horong Panjaloon Tagan Dohot Dung Manjalo Tokke Diparade Bagas Tabel Duapulupitu
"Dengan meningkatnya penerimaan sekolah setelah memperoleh BOS, pengeluaran sekolah untuk biaya operasional pun umumnya meningkat","Dohot meningkatnya Panjaloon Sikkola Dungkon Mandohar Tokke, Pangaluaran Sikkola Di Ongkos operasional Pe umumnya Manimbuknimbuk"
"Dengan peningkatan penerimaan ini, ada indikasi bahwa semangat mengajar guru meningkat","Dohot peningkatan Panjaloon On, Isi indikasi Ima Bonar Mangajar Guru Manimbuknimbuk"
Peningkatan intensitas kegiatan-kegiatan yang berkaitan dengan peningkatan kualitas guru seperti MGMP dan KKG,Peningkatan intensitas kegiatan-kegiatan Na Hombar Dohot peningkatan Habagakon Guru Tudos MGMP Dohot KKG
"Oleh karenanya, kegiatan belajar-mengajar menjadi sangat membosankan","Angkup Alana, kegiatan Marsiajar Jala Sai Mandosdos"
Biasanya dari iuran siswa yang jauh lebih kecil saja mereka mendapat alokasi,Somalna Sian Gugu Anaksikkola Na Tais Lobi Metmet Ondeng Nasida Taruli alokasi
"SD/MI yang mengalami peningkatan adalah 18 sekolah atau sekitar 90%, sedangkan SMP/MTs hanya delapan sekolah atau sekitar 66, 7%","SD/Mi Na Mandalani peningkatan Adongma Sampuluualu Sikkola Manang Lambung Siapulu, Gari SMP/MTs Holan Ualu Sikkola Manang Lambung 66, 7%"
"Namun, perlu dicatat bahwa dampak kegiatan tersebut akan maksimal bila kualitas kegiatan tersebut dapat dijaga","Alai, Porlu dicatat Ima Panghorhon kegiatan tersebut Naeng maksimal Nandigan Habagakon kegiatan tersebut Dohar Dianggapi"
Peningkatan intensitas dan jenis kegiatan ekstrakurikuler,Peningkatan intensitas Dohot Ragam kegiatan ekstrakurikuler
"Namun, peningkatan kualitas kegiatan belajar-mengajar ini tentunya perlu didukung dengan peningkatan kemampuan guru","Alai, peningkatan Habagakon kegiatan Marsiajar On tentunya Porlu Diolophon Dohot peningkatan Dinatolap Guru"
"Dengan peningkatan sarana bahan ajar, guru menjadi lebih bersemangat dan bebas dalam menerapkan berbagai teknik mengajar","Dohot peningkatan sarana bahan Tutur, Guru Jala Lobi Girgir Dohot Jalang Bagas menerapkan Marmansam teknik Mangajar"
Hampir semua sekolah membuat alokasi yang cukup banyak untuk pembelian buku,Giot Luhut Sikkola Mambaen alokasi Na Ris Godang Di Panuhoran Buku
"Di beberapa sekolah miskin, peningkatan ini sangat terasa karena dengan biaya operasional yang sangat minim sebelum adanya BOS","I Pigapiga Sikkola Pogos, peningkatan On Sai Tarhilala Alani Dohot Ongkos operasional Na Sai Otik Tagan Adongdo Tokke"
"Namun, beberapa dinas pendidikan menyatakan adanya indikasi dampak positif dari program ini","Alai, Pigapiga Dinas Parsiajaran Manghajongjonghon Adongdo indikasi Panghorhon positif Sian Ruhutruhut On"
"Peningkatan koleksi buku di sekolah, baik buku pegangan untuk guru maupun bukubuku pelajaran pokok dan buku pelajaran tambahan","Peningkatan koleksi Buku I Sikkola, Denggan Buku Tiopan Di Guru Olope bukubuku Parsiajaran Bona Dohot Buku Parsiajaran Angkup"
Koleksi buku perpustakaan sangat minim karena pembelian buku cukup membebani orangtua murid dan adanya insentif rabat pembelian,Koleksi Buku Parpustahaan Sai Otik Alani Panuhoran Buku Ris Mambobani orangtua Sisean Dohot Adongdo insentif rabat Panuhoran
"Walaupun demikian, umumnya para pemangku kepentingan di kota memberikan penilaian yang relatif agak rendah","Aganan Alai, umumnya Ni pemangku Guna I Kota Mangalehon Pamuntenan Na relatif Tar Hetek"
"Bahkan, dua pemerintah kota bermaksud untuk meningkatkan anggaran pendidikannya","Gari, Dua Pamarenta Kota Marroha Di Patuginjang anggaran pendidikannya"
Tentunya hal ini berdampak pada penurunan biaya pendidikan yang harus dikeluarkan oleh orangtua siswa,Tentunya Bongka On Manghorhon Di penurunan Ongkos Parsiajaran Na Ingkon Dipabali Angkup orangtua Anaksikkola
Peningkatan APK ini disinyalir terjadi karena peningkatan partisipasi pendidikan di beberapa daerah pelosok,Peningkatan APK On disinyalir Manjadi Alani peningkatan Mandohoti Parsiajaran I Pigapiga Huta Hutahuta
"Oleh sebab itu, sekolah cenderung tidak melakukan upaya-upaya khusus untuk mencegah putus sekolah","Angkup Ala Ido, Sikkola Sundung Ndada Padalanhon Angkal upaya Sudung Di Mangontapi Gotap Sikkola"
"Walaupun tidak ada penjelasan resmi dari perusahaan tersebut, kemungkinan hal ini juga dipengaruhi oleh adanya dana BOS","Aganan Ndada Isi Manangkasion Ojak Sian perusahaan tersebut, Sundur Bongka On Musem Diela Angkup Adongdo Hepeng Tokke"
"Namun di dua kota sampel lainnya, terdapat indikasi bahwa alokasi APBD di bidang pendidikan akan dikurangi","Alai I Dua Kota sampel Habalian, Tardapot indikasi Ima alokasi APBD I Bolak Parsiajaran Naeng Diorui"
Beberapa contoh program pemda kabupaten/kota yang disesuaikan dengan Program BOS antara lain adalah,Pigapiga Tiruan Ruhutruhut pemda Kabupaten/Kota Na Dipapas Dohot Ruhutruhut Tokke Holangholang Asing Adongma
"Selain itu, pemkot juga memberikan bantuan guru sebesar Rp50.000 per guru per bulan","Angkupni Ido, pemkot Musem Mangalehon Tumpak Guru Sabalga Rp50.000 per Guru per Bulan"
"Di Kota Cilegon, pemkot memberikan tunjangan untuk guru, berupa uang transpor dan tunjangan kesejahteraan","I Kota Cilegon, pemkot Mangalehon Tumpak Di Guru, berupa Hepeng transpor Dohot Tumpak Pangabakan"
2.8.2 Tingkat Kepuasan terhadap Pelaksanaan Program Pelaksanaan,2.8.2 Tingkat Halabason Maradophon Pelaksanaan Ruhutruhut Pelaksanaan
"Di samping itu, Pemkot Pasuruan juga mengalokasikan dana untuk merehabilitasi bangunan sekolah sebesar Rp13, 4 miliar","I Lambung Ido, Pemkot Pasuruan Musem mengalokasikan Hepeng Di merehabilitasi Godung Sikkola Sabalga Rp13, 4 miliar"
Pernyataan yang dikemukakan pejabat daerah juga seringkali tidak tepat,Pernyataan Na Dipatudu Panggomgomi Huta Musem seringkali Ndada Tingkos
Program BOS yang dilakukan secara tergesa-gesa dan tanpa persiapan yang matang,Ruhutruhut Tokke Na Dipadalan Sasara Goso Dohot Sopola persiapan Na Masak
"Perbedaan yang paling mencolok antara keduanya adalah masalah sosialisasi, penyaluran, dan pelaporan","Parasingan Na Timbil Manjulluk Holangholang Duansa Adongma Hasuharan sosialisasi, penyaluran, Dohot pelaporan"
